q_id,ans
1,Incorrect 1v3
2,Incorrect 2v3
3,Incorrect 3v3
4,Incorrect 4v3
5,Incorrect 5v3
6,Incorrect 6v3
8,Incorrect 8v3
9,Incorrect 9v3
10,Incorrect 10v3
11,Incorrect 11v3
12,Incorrect 12v3
13,Incorrect 13v3
15,Incorrect 15v3
16,Incorrect 16v3
17,Incorrect 17v3
18,Incorrect 18v3
19,Incorrect 19v3
21,Incorrect 21v3
22,Incorrect 22v3
23,Incorrect 23v3
24,Incorrect 24v3
25,Incorrect 25v3
26,Incorrect 26v3
27,Incorrect 27v3
28,Incorrect 28v3
30,Incorrect 30v3
31,Incorrect 31v3
32,Incorrect 32v3
33,Incorrect 33v3
34,Incorrect 34v3
35,Incorrect 35v3
37,Incorrect 37v3
38,Incorrect 38v3
39,Incorrect 39v3
40,Incorrect 40v3
41,Incorrect 41v3
42,Incorrect 42v3
43,Incorrect 43v3
44,Incorrect 44v3
45,Incorrect 45v3
46,Incorrect 46v3
47,Incorrect 47v3
48,Incorrect 48v3
50,Incorrect 50v3
51,Incorrect 51v3
52,Incorrect 52v3
53,Incorrect 53v3
54,Incorrect 54v3
55,Incorrect 55v3
56,Incorrect 56v3
57,Incorrect 57v3
58,Incorrect 58v3
59,Incorrect 59v3
60,Incorrect 60v3
61,Incorrect 61v3
62,Incorrect 62v3
63,Incorrect 63v3
65,Incorrect 65v3
66,Incorrect 66v3
67,Incorrect 67v3
68,Incorrect 68v3
69,Incorrect 69v3
70,Incorrect 70v3
71,Incorrect 71v3
72,Incorrect 72v3
73,Incorrect 73v3
74,Incorrect 74v3
75,Incorrect 75v3
76,Incorrect 76v3
77,Incorrect 77v3
78,Incorrect 78v3
79,Incorrect 79v3
81,Incorrect 81v3
82,Incorrect 82v3
83,Incorrect 83v3
84,Incorrect 84v3
85,Incorrect 85v3
86,Incorrect 86v3
87,Incorrect 87v3
88,Incorrect 88v3
89,Incorrect 89v3
90,Incorrect 90v3
91,Incorrect 91v3
92,Incorrect 92v3
93,Incorrect 93v3
94,Incorrect 94v3
95,Incorrect 95v3
97,Incorrect 97v3
98,Incorrect 98v3
99,Incorrect 99v3
100,Incorrect 100v3
101,Incorrect 101v3
102,Incorrect 102v3
103,Incorrect 103v3
104,Incorrect 104v3
105,Incorrect 105v3
106,Incorrect 106v3
107,Incorrect 107v3
108,Incorrect 108v3
109,Incorrect 109v3
110,Incorrect 110v3
111,Incorrect 111v3
112,Incorrect 112v3
113,Incorrect 113v3
114,Incorrect 114v3
115,Incorrect 115v3
116,Incorrect 116v3
117,Incorrect 117v3
118,Incorrect 118v3
119,Incorrect 119v3
120,Incorrect 120v3
121,Incorrect 121v3
122,Incorrect 122v3
124,Incorrect 124v3
125,Incorrect 125v3
126,Incorrect 126v3
127,Incorrect 127v3
128,Incorrect 128v3
129,Incorrect 129v3
130,Incorrect 130v3
131,Incorrect 131v3
132,Incorrect 132v3
133,Incorrect 133v3
134,Incorrect 134v3
135,Incorrect 135v3
136,Incorrect 136v3
137,Incorrect 137v3
138,Incorrect 138v3
139,Incorrect 139v3
140,Incorrect 140v3
141,Incorrect 141v3
142,Incorrect 142v3
143,Incorrect 143v3
144,Incorrect 144v3
145,Incorrect 145v3
146,Incorrect 146v3
147,Incorrect 147v3
148,Incorrect 148v3
149,Incorrect 149v3
150,Incorrect 150v3
151,Incorrect 151v3
152,Incorrect 152v3
153,Incorrect 153v3
154,Incorrect 154v3
156,Incorrect 156v3
157,Incorrect 157v3
158,Incorrect 158v3
159,Incorrect 159v3
160,Incorrect 160v3
161,Incorrect 161v3
162,Incorrect 162v3
163,Incorrect 163v3
164,Incorrect 164v3
165,Incorrect 165v3
166,Incorrect 166v3
167,Incorrect 167v3
168,Incorrect 168v3
169,Incorrect 169v3
